Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
1711,0.414900,0.172142,0.485516,0.342342
1712,0.412400,0.170074,0.484652,0.345274
1713,0.411800,0.169579,0.484442,0.345979
1714,0.413450,0.170941,0.485018,0.344041
1715,0.409950,0.168059,0.483782,0.348159
1716,0.408550,0.166913,0.483274,0.349813
1717,0.407500,0.166056,0.482887,0.351056
1718,0.406750,0.165446,0.482609,0.351946
1719,0.407500,0.166056,0.482887,0.351056
1720,0.402900,0.162328,0.481143,0.356528
1721,0.407250,0.165853,0.482795,0.351353
1722,0.403900,0.163135,0.481530,0.355335
1723,0.408650,0.166995,0.483310,0.349695
1724,0.405000,0.164025,0.481950,0.354025
1725,0.405250,0.164228,0.482045,0.353728
1726,0.404800,0.163863,0.481874,0.354263
1727,0.400650,0.160520,0.480259,0.359220
1728,0.404350,0.163499,0.481702,0.354799
1729,0.405200,0.164187,0.482026,0.353787
1730,0.394600,0.155709,0.477782,0.366509
1731,0.394300,0.155472,0.477655,0.366872
1732,0.394300,0.155472,0.477655,0.366872
1733,0.395350,0.156302,0.478097,0.365602
1734,0.393450,0.154803,0.477294,0.367903
1735,0.390800,0.152725,0.476151,0.371125
1736,0.392850,0.154331,0.477038,0.368631
1737,0.389600,0.151788,0.475624,0.372588
1738,0.392250,0.153860,0.476780,0.369360
1739,0.391400,0.153194,0.476412,0.370394
1740,0.390250,0.152295,0.475910,0.371795
1741,0.394200,0.155394,0.477613,0.366994
1742,0.386750,0.149576,0.474349,0.376076
1743,0.386850,0.149653,0.474394,0.375953
1744,0.388700,0.151088,0.475225,0.373688
1745,0.387650,0.150273,0.474755,0.374973
1746,0.387350,0.150040,0.474620,0.375340
1747,0.383350,0.146957,0.472786,0.380257
1748,0.376800,0.141978,0.469644,0.388378
1749,0.381100,0.145237,0.471726,0.383037
1750,0.385900,0.148919,0.473962,0.377119
1751,0.387300,0.150001,0.474597,0.375401
1752,0.387950,0.150505,0.474890,0.374605
1753,0.389350,0.151593,0.475513,0.372893
1754,0.392900,0.154370,0.477059,0.368570
1755,0.394300,0.155472,0.477655,0.366872
1756,0.399950,0.159960,0.479980,0.360060
1757,0.403500,0.162812,0.481376,0.355812
1758,0.405200,0.164187,0.482026,0.353787
1759,0.397400,0.157927,0.478946,0.363127
1760,0.401400,0.161122,0.480556,0.358322
1761,0.398900,0.159121,0.479558,0.361321
1762,0.403200,0.162570,0.481260,0.356170
1763,0.408350,0.166750,0.483201,0.350050
1764,0.411550,0.169373,0.484353,0.346273
1765,0.413500,0.170982,0.485036,0.343982
1766,0.413750,0.171189,0.485122,0.343689
1767,0.413700,0.171148,0.485105,0.343748
1768,0.408100,0.166546,0.483109,0.350346
1769,0.414000,0.171396,0.485208,0.343396
1770,0.418050,0.174766,0.486568,0.338666
1771,0.422000,0.178084,0.487832,0.334084
1772,0.422750,0.178718,0.488065,0.333218
1773,0.425400,0.180965,0.488870,0.330165
1774,0.424950,0.180583,0.488735,0.330683
1775,0.425950,0.181433,0.489033,0.329533
1776,0.427550,0.182799,0.489502,0.327699
1777,0.423150,0.179056,0.488188,0.332756
1778,0.429600,0.184556,0.490088,0.325356
1779,0.430700,0.185502,0.490395,0.324102
1780,0.431200,0.185933,0.490533,0.323533
1781,0.435400,0.189573,0.491654,0.318773
1782,0.434000,0.188356,0.491288,0.320356
1783,0.436650,0.190663,0.491974,0.317363
1784,0.434100,0.188443,0.491314,0.320243
1785,0.431100,0.185847,0.490506,0.323647
1786,0.427950,0.183141,0.489618,0.327241
1787,0.426850,0.182201,0.489298,0.328501
1788,0.425250,0.180838,0.488825,0.330338
1789,0.425150,0.180753,0.488795,0.330453
1790,0.425000,0.180625,0.488750,0.330625
1791,0.426900,0.182244,0.489313,0.328444
1792,0.428250,0.183398,0.489704,0.326898
1793,0.430300,0.185158,0.490284,0.324558
1794,0.429650,0.184599,0.490102,0.325299
1795,0.433650,0.188052,0.491195,0.320752
1796,0.431750,0.186408,0.490684,0.322908
1797,0.435000,0.189225,0.491550,0.319225
1798,0.436650,0.190663,0.491974,0.317363
1799,0.431650,0.186322,0.490657,0.323022
1800,0.433900,0.188269,0.491262,0.320469
1801,0.436650,0.190663,0.491974,0.317363
1802,0.433050,0.187532,0.491035,0.321432
1803,0.432450,0.187013,0.490874,0.322113
1804,0.431200,0.185933,0.490533,0.323533
1805,0.431700,0.186365,0.490670,0.322965
1806,0.437200,0.191144,0.492112,0.316744
1807,0.435050,0.189269,0.491563,0.319169
1808,0.437900,0.191756,0.492287,0.315956
1809,0.436150,0.190227,0.491846,0.317927
1810,0.435300,0.189486,0.491628,0.318886
1811,0.436100,0.190183,0.491834,0.317983
1812,0.432000,0.186624,0.490752,0.322624
1813,0.433100,0.187576,0.491049,0.321376
1814,0.431900,0.186538,0.490725,0.322738
1815,0.437650,0.191538,0.492225,0.316238
1816,0.437600,0.191494,0.492212,0.316294
1817,0.433800,0.188182,0.491235,0.320582
1818,0.434150,0.188486,0.491328,0.320186
1819,0.428000,0.183184,0.489632,0.327184
1820,0.420650,0.176946,0.487407,0.335646
1821,0.420950,0.177199,0.487502,0.335299
1822,0.421850,0.177957,0.487785,0.334257
1823,0.415750,0.172848,0.485804,0.341348
1824,0.414300,0.171644,0.485311,0.343044
1825,0.410600,0.168592,0.484015,0.347392
1826,0.415850,0.172931,0.485838,0.341231
1827,0.421900,0.178000,0.487801,0.334200
1828,0.423250,0.179141,0.488219,0.332641
1829,0.421550,0.177704,0.487691,0.334604
1830,0.421750,0.177873,0.487754,0.334373
1831,0.423750,0.179564,0.488372,0.332064
1832,0.422850,0.178802,0.488096,0.333102
1833,0.424450,0.180158,0.488584,0.331258
1834,0.423950,0.179734,0.488433,0.331834
1835,0.423850,0.179649,0.488402,0.331949
1836,0.428950,0.183998,0.489904,0.326098
1837,0.427850,0.183056,0.489589,0.327356
1838,0.425350,0.180923,0.488855,0.330223
1839,0.425050,0.180668,0.488765,0.330568
1840,0.426300,0.181732,0.489137,0.329132
1841,0.427650,0.182885,0.489531,0.327585
1842,0.428300,0.183441,0.489718,0.326841
1843,0.423350,0.179225,0.488250,0.332525
1844,0.427250,0.182543,0.489415,0.328043
1845,0.427300,0.182585,0.489429,0.327985
1846,0.429350,0.184341,0.490017,0.325641
1847,0.426600,0.181988,0.489225,0.328788
1848,0.426000,0.181476,0.489048,0.329476
1849,0.427600,0.182842,0.489516,0.327642
1850,0.435200,0.189399,0.491602,0.318999
1851,0.436600,0.190620,0.491961,0.317420
1852,0.435000,0.189225,0.491550,0.319225
1853,0.433650,0.188052,0.491195,0.320752
1854,0.430900,0.185675,0.490450,0.323875
1855,0.430350,0.185201,0.490298,0.324501
1856,0.429600,0.184556,0.490088,0.325356
1857,0.432450,0.187013,0.490874,0.322113
1858,0.431400,0.186106,0.490588,0.323306
1859,0.430850,0.185632,0.490437,0.323932
1860,0.433600,0.188009,0.491182,0.320809
1861,0.435600,0.189747,0.491705,0.318547
1862,0.441300,0.194746,0.493109,0.312146
1863,0.444350,0.197447,0.493806,0.308747
1864,0.448250,0.200928,0.494644,0.304428
1865,0.448100,0.200794,0.494613,0.304594
1866,0.444950,0.197981,0.493939,0.308081
1867,0.448400,0.201063,0.494675,0.304263
1868,0.452000,0.204304,0.495392,0.300304
1869,0.460750,0.212291,0.496919,0.290791
1870,0.466650,0.217762,0.497776,0.284462
1871,0.463550,0.214879,0.497343,0.287779
1872,0.464100,0.215389,0.497422,0.287189
1873,0.462400,0.213814,0.497172,0.289014
1874,0.457700,0.209489,0.496421,0.294089
1875,0.455000,0.207025,0.495950,0.297025
1876,0.446950,0.199764,0.494371,0.305864
1877,0.447650,0.200391,0.494519,0.305091
1878,0.448200,0.200883,0.494634,0.304483
1879,0.443300,0.196515,0.493570,0.309915
1880,0.444350,0.197447,0.493806,0.308747
1881,0.447100,0.199898,0.494403,0.305698
1882,0.445300,0.198292,0.494016,0.307692
1883,0.446450,0.199318,0.494265,0.306418
1884,0.444500,0.197580,0.493839,0.308580
1885,0.444200,0.197314,0.493773,0.308914
1886,0.439750,0.193380,0.492740,0.313880
1887,0.440650,0.194172,0.492955,0.312872
1888,0.436700,0.190707,0.491986,0.317307
1889,0.442200,0.195541,0.493318,0.311141
1890,0.438950,0.192677,0.492546,0.314777
1891,0.439600,0.193248,0.492704,0.314048
1892,0.432550,0.187100,0.490901,0.322000
1893,0.431700,0.186365,0.490670,0.322965
1894,0.432050,0.186667,0.490766,0.322567
1895,0.433650,0.188052,0.491195,0.320752
1896,0.437600,0.191494,0.492212,0.316294
1897,0.434250,0.188573,0.491354,0.320073
1898,0.440000,0.193600,0.492800,0.313600
1899,0.439550,0.193204,0.492692,0.314104
1900,0.439550,0.193204,0.492692,0.314104
1901,0.440400,0.193952,0.492896,0.313152
