Generation,A1_Frequency,A1A1_Frequency,A1A2_Frequency,A2A2_Frequency
0,0.900000,0.810000,0.180000,0.010000
1,0.898500,0.807302,0.182396,0.010302
2,0.896550,0.803802,0.185496,0.010702
3,0.897550,0.805596,0.183908,0.010496
4,0.895500,0.801920,0.187160,0.010920
5,0.896150,0.803085,0.186130,0.010785
6,0.895250,0.801473,0.187555,0.010973
7,0.894050,0.799325,0.189449,0.011225
8,0.890550,0.793079,0.194941,0.011979
9,0.886400,0.785705,0.201390,0.012905
10,0.884400,0.782163,0.204473,0.013363
11,0.883400,0.780396,0.206009,0.013596
12,0.878950,0.772553,0.212794,0.014653
13,0.875750,0.766938,0.217624,0.015438
14,0.873550,0.763090,0.220921,0.015990
15,0.874150,0.764138,0.220024,0.015838
16,0.875550,0.766588,0.217924,0.015488
17,0.876450,0.768165,0.216571,0.015265
18,0.875100,0.765800,0.218600,0.015600
19,0.876250,0.767814,0.216872,0.015314
20,0.876500,0.768252,0.216496,0.015252
21,0.875100,0.765800,0.218600,0.015600
22,0.875750,0.766938,0.217624,0.015438
23,0.875800,0.767026,0.217549,0.015426
24,0.871450,0.759425,0.224050,0.016525
25,0.873100,0.762304,0.221593,0.016104
26,0.870850,0.758380,0.224941,0.016680
27,0.876250,0.767814,0.216872,0.015314
28,0.873950,0.763789,0.220323,0.015889
29,0.871850,0.760122,0.223455,0.016422
30,0.869650,0.756291,0.226718,0.016991
31,0.867000,0.751689,0.230622,0.017689
32,0.871950,0.760297,0.223306,0.016397
33,0.870000,0.756900,0.226200,0.016900
34,0.866750,0.751256,0.230989,0.017756
35,0.867400,0.752383,0.230034,0.017583
36,0.867000,0.751689,0.230622,0.017689
37,0.867550,0.752643,0.229814,0.017543
38,0.865250,0.748658,0.233185,0.018158
39,0.861250,0.741752,0.238997,0.019252
40,0.859900,0.739428,0.240944,0.019628
41,0.858950,0.737795,0.242310,0.019895
42,0.859600,0.738912,0.241376,0.019712
43,0.858800,0.737537,0.242525,0.019937
44,0.856900,0.734278,0.245245,0.020478
45,0.854200,0.729658,0.249085,0.021258
46,0.851850,0.725648,0.252403,0.021948
47,0.856750,0.734021,0.245459,0.020521
48,0.859200,0.738225,0.241951,0.019825
49,0.858800,0.737537,0.242525,0.019937
50,0.859850,0.739342,0.241016,0.019642
51,0.861000,0.741321,0.239358,0.019321
52,0.862100,0.743216,0.237767,0.019016
53,0.857350,0.735049,0.244602,0.020349
54,0.858200,0.736507,0.243386,0.020107
55,0.857050,0.734535,0.245031,0.020435
56,0.852850,0.727353,0.250994,0.021653
57,0.855300,0.731538,0.247524,0.020938
58,0.856150,0.732993,0.246314,0.020693
59,0.856800,0.734106,0.245388,0.020506
60,0.857050,0.734535,0.245031,0.020435
61,0.860300,0.740116,0.240368,0.019516
62,0.863200,0.745114,0.236172,0.018714
63,0.862250,0.743475,0.237550,0.018975
64,0.858750,0.737452,0.242597,0.019952
65,0.861050,0.741407,0.239286,0.019307
66,0.861600,0.742355,0.238491,0.019155
67,0.864250,0.746928,0.234644,0.018428
68,0.864300,0.747014,0.234571,0.018414
69,0.855550,0.731966,0.247168,0.020866
70,0.855800,0.732394,0.246813,0.020794
71,0.854700,0.730512,0.248376,0.021112
72,0.854850,0.730769,0.248163,0.021069
73,0.855000,0.731025,0.247950,0.021025
74,0.855350,0.731624,0.247453,0.020924
75,0.851300,0.724712,0.253177,0.022112
76,0.850200,0.722840,0.254720,0.022440
77,0.850100,0.722670,0.254860,0.022470
78,0.851050,0.724286,0.253528,0.022186
79,0.849650,0.721905,0.255490,0.022605
80,0.848600,0.720122,0.256956,0.022922
81,0.846900,0.717240,0.259321,0.023440
82,0.851750,0.725478,0.252544,0.021978
83,0.850500,0.723350,0.254299,0.022350
84,0.852550,0.726842,0.251417,0.021742
85,0.852150,0.726160,0.251981,0.021860
86,0.851850,0.725648,0.252403,0.021948
